sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"SPT22196","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22197","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22199","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22200","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"SPT22201","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT22202","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22203","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22204","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT22205","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22206","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22207","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","sensitive","resistant","resistant"
"SPT22208","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22209","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22210","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22211","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT22212","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22213","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","undetermined","undetermined","sensitive","resistant","resistant"
"SPT22214","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","undetermined","undetermined","undetermined","resistant","resistant"
"SPT22215","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22216","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22217","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22218","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22219","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22220","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT22221","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT22222","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","sensitive","sensitive","resistant","undetermined"
"SPT22223","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","undetermined","resistant","undetermined"
"SPT22224","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22226","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22227","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"SPT22228","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22229","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22230","2014","true","1223","null","Mozambique","MZ","Gaza","Gaza","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT22231","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22232","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22233","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22234","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22235","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
"SPT22236","2014","false","1223","null","Mozambique","MZ","Gaza","Gaza","null","null","null","null","null","null"
