sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"QS0056-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0060-C","2013","false","1098","null","Ethiopia","ET","Oromia","Oromia","null","null","null","null","null","null"
"QS0087-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","undetermined","resistant","sensitive","sensitive","resistant","resistant"
"QS0104-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0109-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0110-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0116-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0126-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0127-C","2013","false","1098","null","Ethiopia","ET","Oromia","Oromia","null","null","null","null","null","null"
"QS0128-C","2013","false","1098","null","Ethiopia","ET","Oromia","Oromia","null","null","null","null","null","null"
"QS0129-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0131-C","2013","false","1098","null","Ethiopia","ET","Oromia","Oromia","null","null","null","null","null","null"
"QS0132-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0133-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0135-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0142-C","2013","false","1098","null","Ethiopia","ET","Oromia","Oromia","null","null","null","null","null","null"
"QS0144-C","2013","true","1098","null","Ethiopia","ET","Oromia","Oromia","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0145-C","2013","false","1098","null","Ethiopia","ET","Oromia","Oromia","null","null","null","null","null","null"
"QS0153-C","2013","false","1098","null","Ethiopia","ET","Oromia","Oromia","null","null","null","null","null","null"
"QS0154-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0155-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0156-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QS0157-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0158-C","2015","false","1098","null","Ethiopia","ET","Amhara","Amhara","null","null","null","null","null","null"
"QS0159-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QS0161-C","2015","false","1098","null","Ethiopia","ET","Amhara","Amhara","null","null","null","null","null","null"
"QS0162-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0163-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0164-C","2015","false","1098","null","Ethiopia","ET","Amhara","Amhara","null","null","null","null","null","null"
"QS0166-C","2015","false","1098","null","Ethiopia","ET","Amhara","Amhara","null","null","null","null","null","null"
"QS0167-C","2015","false","1098","null","Ethiopia","ET","Amhara","Amhara","null","null","null","null","null","null"
"QS0168-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0169-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QS0170-C","2015","true","1098","null","Ethiopia","ET","Amhara","Amhara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"SPT58227","2019","false","1146","null","Ethiopia","ET","Southern Nations, Nationalities and Peoples","Southern Nations, Nationalities and Peoples","null","null","null","null","null","null"
