sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"PE0002-CW","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0009-C","2010","false","1007","null","Tanzania","TZ","Morogoro","Morogoro","null","null","null","null","null","null"
"PE0009-CW","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PE0010-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0011-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0012-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0013-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0016-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0017-C","2010","false","1007","null","Tanzania","TZ","Tanga","Tanga","null","null","null","null","null","null"
"PE0017-CW","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0018-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0019-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0020-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0021-C","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PE0022-C","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0023-C","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","undetermined","sensitive","sensitive","resistant","sensitive"
"PE0024-C","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0025-C","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0027-C","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","resistant","sensitive","sensitive","resistant","undetermined"
"PE0028-C","2010","true","1007","null","Tanzania","TZ","Morogoro","Morogoro","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PE0030-C","2010","true","1007","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0087-C","2013","true","1095","null","Tanzania","TZ","Tanga","Tanga","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PE0088-C","2013","true","1095","null","Tanzania","TZ","Tanga","Tanga","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"PE0089-C","2013","true","1095","null","Tanzania","TZ","Tanga","Tanga","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
