sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"PZ0001-CW","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PZ0002-CW","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PZ0003-CW","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PZ0004-CW","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PZ0005-C","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","resistant","sensitive","sensitive","resistant","undetermined"
"PZ0005-CW","2010","false","1024","null","Uganda","UG","Apac","Apac","null","null","null","null","null","null"
"PZ0006-CW","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PZ0007-C","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","sensitive","sensitive","sensitive","sensitive","sensitive"
"PZ0008-CW","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PZ0009-C","2010","false","1024","null","Uganda","UG","Apac","Apac","null","null","null","null","null","null"
"PZ0009-CW","2010","false","1024","null","Uganda","UG","Apac","Apac","null","null","null","null","null","null"
"PZ0010-CW","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PZ0011-CW","2010","false","1024","null","Uganda","UG","Apac","Apac","null","null","null","null","null","null"
"PZ0012-C","2010","false","1024","null","Uganda","UG","Apac","Apac","null","null","null","null","null","null"
"PZ0015-C","2010","true","1024","null","Uganda","UG","Apac","Apac","sensitive","resistant","sensitive","sensitive","resistant","resistant"
