sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"QJ0001-C","2011","true","1052","null","Nigeria","NG","Kwara","Kwara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0001-Cx","2011","false","1052","null","Nigeria","NG","Kwara","Kwara","null","null","null","null","null","null"
"QJ0002-C","2012","true","1052","null","Nigeria","NG","Kwara","Kwara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0002-Cx","2012","false","1052","null","Nigeria","NG","Kwara","Kwara","null","null","null","null","null","null"
"QJ0003-C","2012","true","1052","null","Nigeria","NG","Kwara","Kwara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0003-Cx","2012","false","1052","null","Nigeria","NG","Kwara","Kwara","null","null","null","null","null","null"
"QJ0004-C","2012","true","1052","null","Nigeria","NG","Kwara","Kwara","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0005-C","2012","true","1052","null","Nigeria","NG","Kwara","Kwara","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QJ0006-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0007-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0008-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0009-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0010-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QJ0015-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"QJ0018-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0019-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0062-C","2014","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0081-C","2014","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0092-C","2014","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0094-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0095-C","2014","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0125-C","2015","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0126-C","2015","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0154-C","2015","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0155-C","2015","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0156-C","2015","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0158-C","2015","false","1103","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"QJ0159-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0160-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0161-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QJ0162-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QJ0163-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
"QJ0164-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QJ0165-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0167-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","sensitive","sensitive"
"QJ0168-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QJ0169-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QJ0170-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"QJ0172-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QJ0173-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","undetermined","sensitive","sensitive","resistant","undetermined"
"QJ0174-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QJ0175-C","2014","true","1103","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"SPT41841","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41843","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","resistant","undetermined","undetermined","resistant","resistant"
"SPT41844","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","undetermined","undetermined","resistant","resistant"
"SPT41847","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"SPT41851","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41854","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","sensitive","undetermined","undetermined","undetermined","resistant"
"SPT41856","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41860","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"SPT41861","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","sensitive","undetermined","undetermined","resistant","sensitive"
"SPT41862","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"SPT41864","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41865","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","undetermined","resistant","sensitive"
"SPT41866","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41867","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41870","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","resistant","sensitive","sensitive","resistant","resistant"
"SPT41873","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41883","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41885","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","sensitive","resistant","resistant"
"SPT41891","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41893","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41894","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41898","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41901","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41903","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","resistant","undetermined","undetermined","resistant","resistant"
"SPT41905","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41906","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41908","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41910","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41911","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41912","2017","false","1183","null","Nigeria","NG","Lagos","Lagos","null","null","null","null","null","null"
"SPT41913","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41914","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","resistant","undetermined","undetermined","resistant","sensitive"
"SPT41915","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","undetermined","sensitive","undetermined","undetermined","resistant","resistant"
"SPT41918","2017","true","1183","null","Nigeria","NG","Lagos","Lagos","sensitive","sensitive","undetermined","sensitive","resistant","undetermined"
