sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"PF0004-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","undetermined","resistant"
"PF0006-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","undetermined"
"PF0007-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","sensitive","undetermined"
"PF0008-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0009-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","undetermined","resistant"
"PF0010-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0011-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0012-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","undetermined"
"PF0016-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0020-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","sensitive","resistant"
"PF0021-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","undetermined"
"PF0022-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0024-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","undetermined","undetermined"
"PF0025-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0026-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0027-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","undetermined"
"PF0028-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","sensitive","resistant"
"PF0029-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","undetermined"
"PF0030-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","undetermined","undetermined"
"PF0031-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0032-C","2009","false","1017","null","Ghana","GH","Upper East","Upper East","null","null","null","null","null","null"
"PF0033-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","sensitive"
"PF0035-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0036-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","resistant","undetermined"
"PF0037-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0038-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0039-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0040-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","resistant"
"PF0041-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0042-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0043-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0044-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0045-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0046-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"PF0047-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0048-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0049-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","undetermined"
"PF0050-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0051-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0052-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0053-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0054-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"PF0055-C","2009","false","1017","null","Ghana","GH","Upper East","Upper East","null","null","null","null","null","null"
"PF0057-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","undetermined","resistant","sensitive","sensitive","resistant","undetermined"
"PF0058-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0062-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0063-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","undetermined"
"PF0064-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0065-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"PF0066-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"PF0069-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","resistant"
"PF0073-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","sensitive","resistant"
"PF0074-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0075-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","undetermined"
"PF0078-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","undetermined","resistant"
"PF0079-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0080-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0081-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","sensitive","resistant"
"PF0084-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0085-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","undetermined","resistant"
"PF0089-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0090-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0092-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0095-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","sensitive","undetermined"
"PF0096-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","resistant"
"PF0097-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"PF0098-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0100-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0101-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","undetermined","undetermined"
"PF0102-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PF0103-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","undetermined","resistant"
"PF0104-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","undetermined","sensitive","sensitive","sensitive","undetermined"
"PF0105-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"PF0106-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","undetermined","sensitive","sensitive","sensitive","resistant","resistant"
"PF0107-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PF0108-C","2009","true","1017","null","Ghana","GH","Upper East","Upper East","sensitive","sensitive","sensitive","sensitive","sensitive","resistant"
